Work ID,File Name,Work Agent,Work Title,Work Type,Work Material,Work Description,Work Measurements,Work Date,Work Location,GPSLatitude,GPSLongitude,Image Relation,Image Title,Image Work Type,Work Location Creation,Work Cultural Context,Work Style Period,Work Location Site,Collection,Image Rights,Image Source,Image URL,Title,Creator,Subject,Description,Publisher,Contributor,Coverage,Date,Type,Format,Copyright Notice,Source,Language,Relation,Identifier
1201,AR-MA-Bruzzone-Cohen-Cynthia-Ramona-1201-00.jpg,"Cohen, Cynthia",Ramona,,Impreso sobre tela. Objeto intervenido,Un calzón con la palabra “Ramona” en rosa,30/35 cm x 29 cm,2015 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1201",-34599,-58380,"[imageOf 1201, RAC Database]",Ramona,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Cohen-Cynthia-Ramona-1201-00.jpg,,,,,,,,,,,,,,,
1658,AR-MA-Bruzzone-Colectivo-Ossobuco-Monte-1658-00.jpg,"Ossobuco (Argentinian artist collective); Basualdo, Néstor [collaborator]; Miranda, Monika [collaborator]; Moresi, Víctor [collaborator]",Monte,,"Textil. Collage de telas. Diferentes telas, hilos, cordones y apliques","Flores, hojas, frutos, abstracciones",100 cm x 138 cm,2017 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1658",-34599,-58380,"[imageOf 1658, RAC Database]",Monte,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Colectivo-Ossobuco-Monte-1658-00.jpg,,,,,,,,,,,,,,,
1787,AR-MA-Bruzzone-Colectivo-Ribereno-Pinto-la-isla-1787-00.jpg,Ribereño (Argentinian artist collective),Pintó la isla,,Impresos sobre papel. Diferentes tipos de tintas de impresión y diferentes papeles,Stickers y panfletos de lugares relacionados con islas y la costa del Río de la Plata,approximately 20 cm (each),2017 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1787",-34599,-58380,"[imageOf 1787, RAC Database]",Pintó la isla,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Colectivo-Ribereno-Pinto-la-isla-1787-00.jpg,,,,,,,,,,,,,,,
1817,AR-MA-Bruzzone-Coll-Manuel-Persiana-1817-00.jpg,"Coll, Manuel",Persiana,,AcrÌlico sobre madera. Cortina de madera formada por 32 tablas con su sistema de alambres original,Paisaje con fondo ondulado con árboles y arbustos,155 cm x 104 cm,2019 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1817",-34599,-58380,"[imageOf 1817, RAC Database]",Persiana,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Coll-Manuel-Persiana-1817-00.jpg,,,,,,,,,,,,,,,
743,AR-MA-Bruzzone-Colmegna-Victoria-Retrato-1-Arcimboldo-0743-00.jpg,"Colmegna, Victoria",Retrato 1 – Arcimboldo,,Acrílico sobre papel de regalo,"Retrato de una cara y torso con flores, sobre fondo obscuro",68 cm x 50 cm,2012 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 743",-34599,-58380,"[imageOf 743, RAC Database]",Retrato 1 – Arcimboldo,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Colmegna-Victoria-Retrato-1-Arcimboldo-0743-00.jpg,,,,,,,,,,,,,,,
742,AR-MA-Bruzzone-Colmegna-Victoria-Retrato-2-Jagger-0742-00.jpg,"Colmegna, Victoria",Retrato 2 – Jagger,,Acrílico sobre papel de regalo,"Retrato de una cara con flores, sobre fondo negro",67 cm x 47 cm,2012 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 742",-34599,-58380,"[imageOf 742, RAC Database]",Retrato 2 – Jagger,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Colmegna-Victoria-Retrato-2-Jagger-0742-00.jpg,,,,,,,,,,,,,,,
346,AR-MA-Bruzzone-Compagnucci-Andres-Aniversario-del-Reinado-0346-00.jpg,"Compagnucci, Andrés ",25 Aniversario del Reinado de S.M. Don Juan Carlos I,,Impreso sobre papel,Serie de 7 estampillas en conmemoración del aniversario…,8 cm x 12.5 cm,ca. 1995- ca. 2010 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 346",-34599,-58380,"[imageOf 346, RAC Database]",25 Aniversario del Reinado de S.M. Don Juan Carlos I,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Compagnucci-Andres-Aniversario-del-Reinado-0346-00.jpg,,,,,,,,,,,,,,,
100,AR-MA-Bruzzone-Compagnucci-Andres-Recuerdo-de-Miramar-0100-00.jpg,"Compagnucci, Andrés ",Recuerdo de Miramar,,Oleo sobre tela,Imagen de caracoles formando los típicos recuerdos,70 cm x 100 cm,1995 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 100",-34599,-58380,"[imageOf 100, RAC Database]",Recuerdo de Miramar,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Compagnucci-Andres-Recuerdo-de-Miramar-0100-00.jpg,,,,,,,,,,,,,,,
1829,AR-MA-Bruzzone-Contrafatti-Guido-Orlando-Columna-de-Humo-1829-00.jpg,"Contrafatti, Guido Orlando",Columna de Humo,,lápiz de color [300022441] sobre papel,Abstracción de nubes de humo de colores,29.5 cm x 20.5 cm,2017 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1829",-34599,-58380,"[imageOf 1829, RAC Database]",Columna de Humo,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Contrafatti-Guido-Orlando-Columna-de-Humo-1829-00.jpg,,,,,,,,,,,,,,,
1825,AR-MA-Bruzzone-Contrafatti-Guido-Orlando-ST-Resaka-Tecnica-Mixta-1825-00.jpg,"Contrafatti, Guido Orlando",Sin título. Resaka,,Técnica mixta. AcrÌlico y laca acrÌlica sobre lienzo. Parrilla de hierro,Un personaje vomitando sobre una parrilla de asado,Canvas 40 cm x 30 cm; Grill 100 cm x 71 cm,2013 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1825",-34599,-58380,"[imageOf 1825, RAC Database]",Sin título. Resaka,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Contrafatti-Guido-Orlando-ST-Resaka-Tecnica-Mixta-1825-00.jpg,,,,,,,,,,,,,,,
